Time,kWh
19/05/2022 00:00,0.4116
20/05/2022 00:00,1.4054
21/05/2022 00:00,0.9588
22/05/2022 00:00,1.3237
23/05/2022 00:00,1.4935
24/05/2022 00:00,1.2813
25/05/2022 00:00,1.267
26/05/2022 00:00,1.2666
27/05/2022 00:00,1.2069
28/05/2022 00:00,1.2365
29/05/2022 00:00,1.2752
30/05/2022 00:00,1.1216
31/05/2022 00:00,1.114
01/06/2022 00:00,1.024
02/06/2022 00:00,1.0545
03/06/2022 00:00,0.9451
04/06/2022 00:00,0.9615
05/06/2022 00:00,1.2351
06/06/2022 00:00,1.0902
07/06/2022 00:00,0.6441
08/06/2022 00:00,-1.0
09/06/2022 00:00,-1.0
10/06/2022 00:00,-1.0
11/06/2022 00:00,-1.0
12/06/2022 00:00,-1.0
13/06/2022 00:00,-1.0
14/06/2022 00:00,-1.0
15/06/2022 00:00,-1.0
16/06/2022 00:00,-1.0
17/06/2022 00:00,-1.0
18/06/2022 00:00,-1.0
19/06/2022 00:00,-1.0
20/06/2022 00:00,-1.0
21/06/2022 00:00,-1.0
22/06/2022 00:00,-1.0
23/06/2022 00:00,-1.0
24/06/2022 00:00,-1.0
25/06/2022 00:00,-1.0
26/06/2022 00:00,-1.0
27/06/2022 00:00,-1.0
28/06/2022 00:00,-1.0
29/06/2022 00:00,-1.0
30/06/2022 00:00,-1.0
01/07/2022 00:00,-1.0
02/07/2022 00:00,-1.0
03/07/2022 00:00,-1.0
04/07/2022 00:00,-1.0
05/07/2022 00:00,-1.0
06/07/2022 00:00,-1.0
07/07/2022 00:00,-1.0
08/07/2022 00:00,-1.0
09/07/2022 00:00,-1.0
10/07/2022 00:00,-1.0
11/07/2022 00:00,-1.0
12/07/2022 00:00,-1.0
13/07/2022 00:00,-1.0
14/07/2022 00:00,-1.0
15/07/2022 00:00,-1.0
16/07/2022 00:00,-1.0
17/07/2022 00:00,-1.0
18/07/2022 00:00,-1.0
19/07/2022 00:00,-1.0
20/07/2022 00:00,-1.0
21/07/2022 00:00,-1.0
22/07/2022 00:00,-1.0
23/07/2022 00:00,-1.0
24/07/2022 00:00,-1.0
25/07/2022 00:00,-1.0
26/07/2022 00:00,-1.0
27/07/2022 00:00,-1.0
28/07/2022 00:00,-1.0
29/07/2022 00:00,-1.0
30/07/2022 00:00,-1.0
31/07/2022 00:00,-1.0
01/08/2022 00:00,-1.0
02/08/2022 00:00,-1.0
03/08/2022 00:00,-1.0
04/08/2022 00:00,-1.0
05/08/2022 00:00,-1.0
06/08/2022 00:00,-1.0
07/08/2022 00:00,-1.0
08/08/2022 00:00,-1.0
09/08/2022 00:00,-1.0
10/08/2022 00:00,-1.0
11/08/2022 00:00,-1.0
12/08/2022 00:00,-1.0
13/08/2022 00:00,-1.0
14/08/2022 00:00,-1.0
15/08/2022 00:00,-1.0
16/08/2022 00:00,-1.0
17/08/2022 00:00,-1.0
18/08/2022 00:00,-1.0
19/08/2022 00:00,-1.0
20/08/2022 00:00,-1.0
21/08/2022 00:00,-1.0
22/08/2022 00:00,-1.0
23/08/2022 00:00,-1.0
24/08/2022 00:00,-1.0
25/08/2022 00:00,-1.0
26/08/2022 00:00,-1.0
27/08/2022 00:00,-1.0
28/08/2022 00:00,-1.0
29/08/2022 00:00,-1.0
30/08/2022 00:00,-1.0
31/08/2022 00:00,-1.0
01/09/2022 00:00,-1.0
02/09/2022 00:00,-1.0
03/09/2022 00:00,-1.0
04/09/2022 00:00,-1.0
05/09/2022 00:00,-1.0
06/09/2022 00:00,-1.0
07/09/2022 00:00,-1.0
08/09/2022 00:00,-1.0
09/09/2022 00:00,-1.0
10/09/2022 00:00,-1.0
11/09/2022 00:00,-1.0
12/09/2022 00:00,-1.0
13/09/2022 00:00,-1.0
14/09/2022 00:00,-1.0
15/09/2022 00:00,-1.0
16/09/2022 00:00,-1.0
17/09/2022 00:00,-1.0
18/09/2022 00:00,-1.0
19/09/2022 00:00,-1.0
20/09/2022 00:00,-1.0
21/09/2022 00:00,-1.0
22/09/2022 00:00,-1.0
23/09/2022 00:00,-1.0
24/09/2022 00:00,-1.0
25/09/2022 00:00,-1.0
26/09/2022 00:00,-1.0
27/09/2022 00:00,-1.0
28/09/2022 00:00,-1.0
29/09/2022 00:00,-1.0
30/09/2022 00:00,-1.0
01/10/2022 00:00,-1.0
02/10/2022 00:00,-1.0
03/10/2022 00:00,-1.0
04/10/2022 00:00,-1.0
